id,name,date,director,actor,language
1010061,Chennai Express,2013.0,Rohit Shetty,Shah Rukh Khan,Hindi
1010158,Salaam Bombay!,1988.0,Mira Nair,Shafiq Syed,Hindi
1010162,Brahmāstra Part One: Shiva,2022.0,Ayan Mukerji,Ranbir Kapoor,Hindi
1010166,The Hero,1966.0,Satyajit Ray,Uttam Kumar,"Bengali, Bangla"
1010225,K.G.F: Chapter 2,2022.0,Prashanth Neel,Yash,Kannada
1010318,Bajirao Mastani,2015.0,Sanjay Leela Bhansali,Ranveer Singh,Hindi
1010343,Kantara,2022.0,Rishab Shetty,Rishab Shetty,Kannada
1010368,Tamasha,2015.0,Imtiaz Ali,Ranbir Kapoor,Hindi
1010443,Devi,1960.0,Satyajit Ray,Sharmila Tagore,"Bengali, Bangla"
1010452,Nayakan,1987.0,Mani Ratnam,Kamal Haasan,Tamil
1010456,Main Hoon Na,2004.0,Farah Khan,Shah Rukh Khan,Hindi
1010577,Padmaavat,2018.0,Sanjay Leela Bhansali,Deepika Padukone,Hindi
1010596,Jallikattu,2019.0,Lijo Jose Pellissery,Antony Varghese,Malayalam
1010609,Hi Nanna,2023.0,Shouryuv,Nani,Telugu
1010629,Dil Dhadakne Do,2015.0,Zoya Akhtar,Anil Kapoor,Hindi
1010637,Bajrangi Bhaijaan,2015.0,Kabir Khan,Salman Khan,Hindi
1010756,Veer-Zaara,2004.0,Yash Chopra,Shah Rukh Khan,Hindi
1010886,Sardar Udham,2021.0,Shoojit Sircar,Vicky Kaushal,Hindi
1010889,Captain Miller,2024.0,Arun Matheswaran,Dhanush,Tamil
1010901,Three of Us,2022.0,Avinash Arun,Shefali Shah,Hindi
1010969,Kaithi,2019.0,Lokesh Kanagaraj,Karthi,Tamil
1010974,Dil Chahta Hai,2001.0,Farhan Akhtar,Aamir Khan,Hindi
1010980,Chak De! India,2007.0,Shimit Amin,Shah Rukh Khan,Hindi
1011014,Dear Zindagi,2016.0,Gauri Shinde,Alia Bhatt,Hindi
1011061,Jai Bhim,2021.0,T. J. Gnanavel,Suriya,Tamil
1011093,Kapoor & Sons,2016.0,Shakun Batra,Sidharth Malhotra,Hindi
1011095,Bulbbul,2020.0,Anvita Dutt,Triptii Dimri,Hindi
1011196,All We Imagine As Light,2024.0,Payal Kapadia,Kani Kusruti,Malayalam
1011225,Drishyam,2015.0,Nishikant Kamat,Ajay Devgan,Hindi
1011360,Ponniyin Selvan: Part II,2023.0,Mani Ratnam,Vikram,Tamil
1011441,Ghajini,2008.0,A.R. Murugadoss,Aamir Khan,Hindi
1011447,Romancham,2023.0,Jithu Madhavan,Soubin Shahir,Malayalam
